,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_covariance_type,param_max_iter,param_n_components,param_reg_covar,param_tol,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
368,0.005245685577392578,0.00028133392333984375,-24.69556848350842,-1.8192214288236308,spherical,200,3,1e-05,0.0001,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 0.0001, 'reg_covar': 1e-05, 'n_components': 3}",275,-47.84755887199551,-2.1305694906831723,-10.41127472345958,-1.8470808105665466,-15.827871855070168,-1.480013985221174,0.001425777749052081,7.975900317307959e-05,16.519601999503337,0.2663177616871146
369,0.004435936609903972,0.00022101402282714844,-24.613673223777003,-1.8193176231032924,spherical,200,3,1e-05,0.001,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 0.001, 'reg_covar': 1e-05, 'n_components': 3}",257,-47.78821177755695,-2.1306521424791702,-10.402604850077894,-1.8472491290214748,-15.650203043696159,-1.4800515978092321,0.0019128254929244707,2.0601719851200933e-06,16.52631738744583,0.266339875532934
370,0.003609339396158854,0.00022101402282714844,-24.496847431058374,-1.8200977803756455,spherical,200,3,1e-05,0.01,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 0.01, 'reg_covar': 1e-05, 'n_components': 3}",248,-47.76210191746668,-2.1312378779523082,-10.391285091560366,-1.847634512938739,-15.337155284148075,-1.4814209502358886,0.0004072182971980152,2.0601719851200933e-06,16.57446746713125,0.2660002676902038
371,0.0031810601552327475,0.0002193450927734375,-24.4286702173992,-1.825208968604042,spherical,200,3,1e-05,0.1,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 0.1, 'reg_covar': 1e-05, 'n_components': 3}",247,-47.762101917463994,-2.1312378779523153,-10.18675345058553,-1.8629680776239221,-15.337155284148075,-1.4814209502358886,0.0003314380907970746,1.0115243642614567e-06,16.632667373534982,0.2666268586397919
372,0.008290767669677734,0.00021727879842122397,-23.394820470907245,-1.8402436639616415,spherical,200,3,0.0001,1e-06,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 1e-06, 'reg_covar': 0.0001, 'n_components': 3}",207,-47.748621022517156,-2.1304651641813983,-10.406027471902041,-1.8470722021791617,-12.029812918302534,-1.5431936255243648,0.0009855669233912484,1.1894408501860113e-06,17.233492019411543,0.2398012186927484
373,0.007089296976725261,0.00022872289021809897,-24.62210008488338,-1.8191764761338511,spherical,200,3,0.0001,1e-05,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 1e-05, 'reg_covar': 0.0001, 'n_components': 3}",260,-47.7114823465953,-2.130483170377479,-10.405595519835586,-1.8470732932214184,-15.749222388219266,-1.4799729648026554,0.0029293166958898895,1.6488655387138628e-05,16.471759002359576,0.266301278244476
374,0.006103992462158203,0.00022641817728678385,-24.616568014670364,-1.8192594477265187,spherical,200,3,0.0001,0.0001,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 0.0001, 'reg_covar': 0.0001, 'n_components': 3}",258,-47.63935561958464,-2.13068312590053,-10.40428390575497,-1.8470821715002228,-15.806064518671478,-1.4800130457788034,0.0029846849429500492,1.4648467164318635e-05,16.4282555428803,0.2663624926799872
375,0.0046796003977457685,0.00022141138712565103,-24.50216897973367,-1.819539750148147,spherical,200,3,0.0001,0.001,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 0.001, 'reg_covar': 0.0001, 'n_components': 3}",250,-47.702016829832225,-2.130529357146011,-10.395718974153844,-1.847247741912308,-15.408771135214947,-1.4808421513861216,0.0014014220193544966,2.4649401377472598e-06,16.531936329282416,0.2659563447105876
376,0.0035833517710367837,0.00021998087565104166,-23.5576703460611,-1.8382729639234257,spherical,200,3,0.0001,0.01,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 0.01, 'reg_covar': 0.0001, 'n_components': 3}",213,-46.46410293908828,-2.138672787852052,-8.755934436936409,-1.8955344488150039,-15.452973662158621,-1.4806116551032207,0.0007295303435307941,8.778064264605253e-07,16.426423311242864,0.2716864269062898
377,0.004564603169759114,0.00034801165262858075,-24.26827984646854,-1.8222200983977341,spherical,200,3,0.0001,0.1,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 0.1, 'reg_covar': 0.0001, 'n_components': 3}",236,-46.46410293908828,-2.138672787852052,-10.384271466896967,-1.847636640696255,-15.956465133420368,-1.480350866644895,0.0015248530800694798,0.00015134883679598823,15.85881999884112,0.2693590397620247
378,0.009692668914794922,0.00022069613138834635,-24.366772488130717,-1.819312088804698,spherical,200,3,0.001,1e-06,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 1e-06, 'reg_covar': 0.001, 'n_components': 3}",242,-47.22858270352318,-2.13058720649023,-10.336821308448544,-1.8471978745741222,-15.534913452420433,-1.4801511853497415,0.005959429488922238,3.339751782329988e-06,16.304433246365296,0.2662704980344251
379,0.005877017974853516,0.00021767616271972656,-24.368142660765432,-1.819310235877923,spherical,200,3,0.001,1e-05,"{'max_iter': 200, 'covariance_type': 'spherical', 'tol': 1e-05, 'reg_covar': 0.001, 'n_components': 3}",243,-47.26735110533566,-2.1305651745730647,-10.3363970332086,-1.8471991084728532,-15.500679843752025,-1.480166424587851,0.0010852479727029977,1.7302466278932287e-06,16.3288653367327,0.2662554855854859
