,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_degree,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
27,0.0023152828216552734,0.00041302045186360675,0.5933333333333334,0.5930877401465637,10,5,0.0001,poly,"{'gamma': 0.0001, 'degree': 5, 'kernel': 'poly', 'C': 10}",37,0.5882352941176471,0.5757575757575758,0.7058823529411765,0.5858585858585859,0.4791666666666667,0.6176470588235294,5.144577220502959e-05,1.6556315943399795e-06,0.09212275130058559,0.017848953315208624
28,0.0017519791920979817,0.00039839744567871094,0.8733333333333333,0.8900772430184194,100,2,0.001,poly,"{'gamma': 0.001, 'degree': 2, 'kernel': 'poly', 'C': 100}",14,0.8823529411764706,0.8787878787878788,0.8627450980392157,0.9090909090909091,0.875,0.8823529411764706,1.4847606211543714e-05,1.096379875245446e-05,0.008164965809277232,0.013523240257565104
29,0.0022072792053222656,0.000406344731648763,0.86,0.86660724896019,100,2,0.0001,poly,"{'gamma': 0.0001, 'degree': 2, 'kernel': 'poly', 'C': 100}",15,0.8627450980392157,0.8686868686868687,0.8627450980392157,0.8585858585858586,0.8541666666666666,0.8725490196078431,5.7281024986321256e-05,2.685665329093266e-06,0.004001633653325244,0.005887052464924498
30,0.002233107884724935,0.0004162788391113281,0.76,0.7702515349574174,100,3,0.001,poly,"{'gamma': 0.001, 'degree': 3, 'kernel': 'poly', 'C': 100}",22,0.7254901960784313,0.7575757575757576,0.803921568627451,0.8080808080808081,0.75,0.7450980392156863,6.187634573432965e-05,1.6039741698793566e-05,0.033057683789345274,0.027230054384220215
31,0.002245664596557617,0.0004042784372965495,0.76,0.7702515349574174,100,3,0.0001,poly,"{'gamma': 0.0001, 'degree': 3, 'kernel': 'poly', 'C': 100}",22,0.7254901960784313,0.7575757575757576,0.803921568627451,0.8080808080808081,0.75,0.7450980392156863,4.8140877459470104e-05,2.8366356368978416e-06,0.033057683789345274,0.027230054384220215
32,0.002315044403076172,0.00041031837463378906,0.64,0.6631016042780749,100,4,0.001,poly,"{'gamma': 0.001, 'degree': 4, 'kernel': 'poly', 'C': 100}",29,0.6470588235294118,0.6363636363636364,0.7254901960784313,0.6666666666666666,0.5416666666666666,0.6862745098039216,4.456110639625456e-05,1.9756639631042564e-06,0.07480694106413222,0.020531375571207367
33,0.0023597081502278647,0.0004181067148844401,0.64,0.6631016042780749,100,4,0.0001,poly,"{'gamma': 0.0001, 'degree': 4, 'kernel': 'poly', 'C': 100}",29,0.6470588235294118,0.6363636363636364,0.7254901960784313,0.6666666666666666,0.5416666666666666,0.6862745098039216,0.00010347665420092783,1.4610907483776596e-06,0.07480694106413222,0.020531375571207367
34,0.0023146470387776694,0.0004119873046875,0.5933333333333334,0.5930877401465637,100,5,0.001,poly,"{'gamma': 0.001, 'degree': 5, 'kernel': 'poly', 'C': 100}",37,0.5882352941176471,0.5757575757575758,0.7058823529411765,0.5858585858585859,0.4791666666666667,0.6176470588235294,3.336516367172387e-05,2.0601719851200933e-06,0.09212275130058559,0.017848953315208624
35,0.002304712931315104,0.0004173119862874349,0.5933333333333334,0.5930877401465637,100,5,0.0001,poly,"{'gamma': 0.0001, 'degree': 5, 'kernel': 'poly', 'C': 100}",37,0.5882352941176471,0.5757575757575758,0.7058823529411765,0.5858585858585859,0.4791666666666667,0.6176470588235294,4.511273223312993e-05,5.520933288878889e-06,0.09212275130058559,0.017848953315208624
36,0.0013353029886881511,0.000368038813273112,0.9666666666666667,0.953456129926718,1000,2,0.001,poly,"{'gamma': 0.001, 'degree': 2, 'kernel': 'poly', 'C': 1000}",7,0.9607843137254902,0.9393939393939394,0.9607843137254902,0.9797979797979798,0.9791666666666666,0.9411764705882353,5.458807869299061e-06,5.8313803125521794e-06,0.008574929257125411,0.018640710740110804
37,0.002228975296020508,0.00040340423583984375,0.86,0.86660724896019,1000,2,0.0001,poly,"{'gamma': 0.0001, 'degree': 2, 'kernel': 'poly', 'C': 1000}",15,0.8627450980392157,0.8686868686868687,0.8627450980392157,0.8585858585858586,0.8541666666666666,0.8725490196078431,4.776827943217712e-05,2.827715376958401e-06,0.004001633653325244,0.005887052464924498
38,0.0017760594685872395,0.00039656956990559894,0.86,0.8733412556941968,1000,3,0.001,poly,"{'gamma': 0.001, 'degree': 3, 'kernel': 'poly', 'C': 1000}",15,0.8431372549019608,0.8686868686868687,0.8627450980392157,0.8787878787878788,0.875,0.8725490196078431,2.5646225525464377e-05,7.1162609753683835e-06,0.01308594016742242,0.004161596630907229
39,0.002261002858479818,0.00041373570760091144,0.76,0.7702515349574174,1000,3,0.0001,poly,"{'gamma': 0.0001, 'degree': 3, 'kernel': 'poly', 'C': 1000}",22,0.7254901960784313,0.7575757575757576,0.803921568627451,0.8080808080808081,0.75,0.7450980392156863,2.7805735372454993e-05,9.529455367325842e-06,0.033057683789345274,0.027230054384220215
40,0.0027953783671061196,0.0005437533060709635,0.64,0.6631016042780749,1000,4,0.001,poly,"{'gamma': 0.001, 'degree': 4, 'kernel': 'poly', 'C': 1000}",29,0.6470588235294118,0.6363636363636364,0.7254901960784313,0.6666666666666666,0.5416666666666666,0.6862745098039216,0.0006453927179569732,0.00018197698815543945,0.07480694106413222,0.020531375571207367
41,0.002386967341105143,0.0004420280456542969,0.64,0.6631016042780749,1000,4,0.0001,poly,"{'gamma': 0.0001, 'degree': 4, 'kernel': 'poly', 'C': 1000}",29,0.6470588235294118,0.6363636363636364,0.7254901960784313,0.6666666666666666,0.5416666666666666,0.6862745098039216,9.904340014114124e-05,2.6035337948811968e-05,0.07480694106413222,0.020531375571207367
42,0.0031220118204752603,0.0005402565002441406,0.5933333333333334,0.5930877401465637,1000,5,0.001,poly,"{'gamma': 0.001, 'degree': 5, 'kernel': 'poly', 'C': 1000}",37,0.5882352941176471,0.5757575757575758,0.7058823529411765,0.5858585858585859,0.4791666666666667,0.6176470588235294,0.0011922498016940077,0.00017937740978666447,0.09212275130058559,0.017848953315208624
43,0.0025993982950846353,0.00045673052469889325,0.5933333333333334,0.5930877401465637,1000,5,0.0001,poly,"{'gamma': 0.0001, 'degree': 5, 'kernel': 'poly', 'C': 1000}",37,0.5882352941176471,0.5757575757575758,0.7058823529411765,0.5858585858585859,0.4791666666666667,0.6176470588235294,0.0002921258010643469,4.547292306377702e-05,0.09212275130058559,0.017848953315208624
