,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_leaf_size,param_n_neighbors,param_weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
26,0.00047095616658528644,0.0013203620910644531,0.9666666666666667,0.9635571400277282,10,14,uniform,"{'weights': 'uniform', 'n_neighbors': 14, 'leaf_size': 10}",67,0.9607843137254902,0.9696969696969697,0.9607843137254902,0.9797979797979798,0.9791666666666666,0.9411764705882353,6.836513890459241e-07,0.0005045949222046577,0.008574929257125411,0.016353967402133508
27,0.00047628084818522137,0.0010946591695149739,0.98,1.0,10,14,distance,"{'weights': 'distance', 'n_neighbors': 14, 'leaf_size': 10}",10,0.9803921568627451,1.0,0.9607843137254902,1.0,1.0,1.0,2.306082745956883e-06,7.493839776238181e-05,0.015924659219017204,0.0
28,0.00048534075419108075,0.0009683767954508463,0.9666666666666667,0.9701921172509408,10,15,uniform,"{'weights': 'uniform', 'n_neighbors': 15, 'leaf_size': 10}",67,0.9607843137254902,0.9696969696969697,0.9411764705882353,0.98989898989899,1.0,0.9509803921568627,1.77322454696599e-05,1.1889628537990603e-05,0.0242535625036333,0.015892308220824537
29,0.0006603399912516276,0.0010654131571451824,0.9733333333333334,1.0,10,15,distance,"{'weights': 'distance', 'n_neighbors': 15, 'leaf_size': 10}",43,0.9803921568627451,1.0,0.9411764705882353,1.0,1.0,1.0,0.00025867235310108986,4.805473520148557e-05,0.024414717515722953,0.0
30,0.0004616578420003255,0.0008300145467122396,0.9666666666666667,1.0,20,1,uniform,"{'weights': 'uniform', 'n_neighbors': 1, 'leaf_size': 20}",67,0.9803921568627451,1.0,0.9215686274509803,1.0,1.0,1.0,3.1709571430301674e-06,3.212512800122537e-06,0.033333333333333354,0.0
31,0.0004620552062988281,0.0008649826049804688,0.9666666666666667,1.0,20,1,distance,"{'weights': 'distance', 'n_neighbors': 1, 'leaf_size': 20}",67,0.9803921568627451,1.0,0.9215686274509803,1.0,1.0,1.0,2.9968750691357935e-06,3.3093552293232305e-06,0.033333333333333354,0.0
32,0.0006303787231445312,0.0011126995086669922,0.9533333333333334,0.9767280649633592,20,2,uniform,"{'weights': 'uniform', 'n_neighbors': 2, 'leaf_size': 20}",88,0.9607843137254902,0.9696969696969697,0.9411764705882353,0.98989898989899,0.9583333333333334,0.9705882352941176,0.0002232403521467637,0.00029007347750382377,0.008782037520219117,0.009320355370055428
33,0.0004956722259521484,0.0009090105692545573,0.9666666666666667,1.0,20,2,distance,"{'weights': 'distance', 'n_neighbors': 2, 'leaf_size': 20}",67,0.9803921568627451,1.0,0.9215686274509803,1.0,1.0,1.0,2.9520289747032647e-05,1.1474405864901648e-05,0.033333333333333354,0.0
34,0.0004669030507405599,0.0008787314097086588,0.98,0.9634581105169341,20,3,uniform,"{'weights': 'uniform', 'n_neighbors': 3, 'leaf_size': 20}",10,0.9803921568627451,0.9494949494949495,0.9607843137254902,0.98989898989899,1.0,0.9509803921568627,8.778064264605254e-07,2.2154832563746635e-05,0.015924659219017204,0.018706357419297846
35,0.00046173731486002606,0.0009030501047770182,0.98,1.0,20,3,distance,"{'weights': 'distance', 'n_neighbors': 3, 'leaf_size': 20}",10,0.9803921568627451,1.0,0.9607843137254902,1.0,1.0,1.0,4.49566384116203e-07,2.433998240012098e-06,0.015924659219017204,0.0
